"","maxdemo","year","percentile_visitors","statistic.D","pval"
"1","p_white","2018","All","0.0555672847522475","0"
"2","p_white","2018","95th","0.0554711590436951","0"
"3","p_white","2018","90th","0.0543225814411356","0"
"4","p_white","2019","All","0.0649500542579743","0"
"5","p_white","2019","95th","0.0659123466502932","0"
"6","p_white","2019","90th","0.0698252218637687","0"
"7","p_white","2020","All","0.0856528611176616","0"
"8","p_white","2020","95th","0.0861197692327084","0"
"9","p_white","2020","90th","0.0878166242231974","0"
"10","p_white","2021","All","0.0206116105648429","1.62203583897735e-13"
"11","p_white","2021","95th","0.0247934583251201","0"
"12","p_white","2021","90th","0.0220857737517516","3.35620420344185e-13"
"13","p_latinx","2018","All","0.0385800099728523","1.59550499608807e-05"
"14","p_latinx","2018","95th","0.0332774876734492","0.000341891837976505"
"15","p_latinx","2018","90th","0.0344920344564962","0.000214722682024826"
"16","p_latinx","2019","All","0.0979296006241873","0"
"17","p_latinx","2019","95th","0.0983131262341832","0"
"18","p_latinx","2019","90th","0.100902817734759","0"
"19","p_latinx","2020","All","0.113871945124503","0"
"20","p_latinx","2020","95th","0.114268404098142","0"
"21","p_latinx","2020","90th","0.115187320423244","0"
"22","p_latinx","2021","All","0.0301197193551085","0.000230722737093236"
"23","p_latinx","2021","95th","0.0344998495006412","2.01677156602686e-05"
"24","p_latinx","2021","90th","0.0355312062457029","1.76184814771885e-05"
"25","p_black","2018","All","0.205125281408046","0"
"26","p_black","2018","95th","0.221222603235409","0"
"27","p_black","2018","90th","0.223959582296867","0"
"28","p_black","2019","All","0.218953185876155","0"
"29","p_black","2019","95th","0.232757071518408","0"
"30","p_black","2019","90th","0.222170013073742","0"
"31","p_black","2020","All","0.212497161354074","0"
"32","p_black","2020","95th","0.217855217507666","0"
"33","p_black","2020","90th","0.211595662744351","0"
"34","p_black","2021","All","0.0944742140986195","9.64120103641442e-07"
"35","p_black","2021","95th","0.0751689851359395","0.000431146557619555"
"36","p_black","2021","90th","0.081528821607728","0.000164369963286615"
"37","p_asian","2018","All","0.0258548072742308","0.147113625640961"
"38","p_asian","2018","95th","0.0226069209375889","0.290268190442893"
"39","p_asian","2018","90th","0.0257932770365319","0.176701531785822"
"40","p_asian","2019","All","0.0966029285135105","0"
"41","p_asian","2019","95th","0.0967422386579139","0"
"42","p_asian","2019","90th","0.0986516051871229","0"
"43","p_asian","2020","All","0.107756266478319","0"
"44","p_asian","2020","95th","0.109446077182021","0"
"45","p_asian","2020","90th","0.112163919563019","0"
"46","p_asian","2021","All","0.0240061427081809","0.0177060382651835"
"47","p_asian","2021","95th","0.0201124079248702","0.0832835819334192"
"48","p_asian","2021","90th","0.0217160530282382","0.0590058413745294"
