"","maxdemo","year","test","statistic.D","pval","temp"
"1","p_white","2018","KS","0.221015847887631","0","Hot"
"2","p_white","2018","Wilcox","344188093","0","Hot"
"3","p_white","2018","KS","0.172644434807264","0","Regular"
"4","p_white","2018","Wilcox","70247297652","0","Regular"
"5","p_white","2019","KS","0.0904542684249593","0","Hot"
"6","p_white","2019","Wilcox","728967577","1.34561869148343e-64","Hot"
"7","p_white","2019","KS","0.0503223002907047","0","Regular"
"8","p_white","2019","Wilcox","83504353466.5","7.38037436810424e-33","Regular"
"9","p_white","2020","KS","0.148601995149753","0","Hot"
"10","p_white","2020","Wilcox","780619459.5","0","Hot"
"11","p_white","2020","KS","0.208900740749564","0","Regular"
"12","p_white","2020","Wilcox","62652847386.5","0","Regular"
"13","p_white","2021","KS","3.72694496791892e-19","1","Hot"
"14","p_white","2021","Wilcox","636317138","1","Hot"
"15","p_white","2021","KS","1.29511337635183e-18","1","Regular"
"16","p_white","2021","Wilcox","81035328200","1","Regular"
"17","p_latinx","2018","KS","0.420635380121462","0","Hot"
"18","p_latinx","2018","Wilcox","5632236","0","Hot"
"19","p_latinx","2018","KS","0.378469553204527","0","Regular"
"20","p_latinx","2018","Wilcox","2407055218","0","Regular"
"21","p_latinx","2019","KS","0.137031922463405","0","Hot"
"22","p_latinx","2019","Wilcox","16512489","1.81193184738045e-22","Hot"
"23","p_latinx","2019","KS","0.170450929828181","0","Regular"
"24","p_latinx","2019","Wilcox","3367053568.5","0","Regular"
"25","p_latinx","2020","KS","0.26617512003685","0","Hot"
"26","p_latinx","2020","Wilcox","18119169.5","3.29008826649832e-182","Hot"
"27","p_latinx","2020","KS","0.315013633269708","0","Regular"
"28","p_latinx","2020","Wilcox","2533315887.5","0","Regular"
"29","p_latinx","2021","KS","4.87890977618477e-19","1","Hot"
"30","p_latinx","2021","Wilcox","13040724.5","1","Hot"
"31","p_latinx","2021","KS","1.62291512693924e-18","1","Regular"
"32","p_latinx","2021","Wilcox","4012109042","1","Regular"
"33","p_black","2018","KS","0.0960144927536218","0.00596057792359805","Hot"
"34","p_black","2018","Wilcox","189908.5","0.0452583788212637","Hot"
"35","p_black","2018","KS","0.305769074436086","0","Regular"
"36","p_black","2018","Wilcox","74322281.5","0","Regular"
"37","p_black","2019","KS","0.135060373720217","5.48741300399058e-07","Hot"
"38","p_black","2019","Wilcox","409640","6.31395595130281e-10","Hot"
"39","p_black","2019","KS","0.103641136225873","0","Regular"
"40","p_black","2019","Wilcox","100640250.5","7.49141001851296e-44","Regular"
"41","p_black","2020","KS","0.10211004530994","9.63755134583133e-05","Hot"
"42","p_black","2020","Wilcox","485383.5","0.341766795424699","Hot"
"43","p_black","2020","KS","0.265338544764498","0","Regular"
"44","p_black","2020","Wilcox","74155933","0","Regular"
"45","p_black","2021","KS","0","1","Hot"
"46","p_black","2021","Wilcox","270848","1","Hot"
"47","p_black","2021","KS","9.75781955236954e-19","1","Regular"
"48","p_black","2021","Wilcox","106784498","1","Regular"
"49","p_asian","2018","KS","0.172492526422334","0","Hot"
"50","p_asian","2018","Wilcox","3124458.5","5.25644901496968e-33","Hot"
"51","p_asian","2018","KS","0.189726782770728","0","Regular"
"52","p_asian","2018","Wilcox","7671949857","0","Regular"
"53","p_asian","2019","KS","0.110647031934819","0","Hot"
"54","p_asian","2019","Wilcox","14971894","1.92278925889358e-28","Hot"
"55","p_asian","2019","KS","0.0583831161580997","0","Regular"
"56","p_asian","2019","Wilcox","9761919947","0.145670987428553","Regular"
"57","p_asian","2020","KS","0.225111425875865","0","Hot"
"58","p_asian","2020","Wilcox","16076873","1.13746479655912e-122","Hot"
"59","p_asian","2020","KS","0.306638158494602","0","Regular"
"60","p_asian","2020","Wilcox","6110672203.5","0","Regular"
"61","p_asian","2021","KS","0","1","Hot"
"62","p_asian","2021","Wilcox","8185058","1","Hot"
"63","p_asian","2021","KS","2.59192081859816e-19","1","Regular"
"64","p_asian","2021","Wilcox","9395463200","1","Regular"
